title,updated,entity,topic,winner,is_new,is_pick,filename,subhead,related_suid,related_link,footnotes,overview,methodology,sources,data_updated
Highest-Earning Top 5%: U.S. Cities,2/13/2013,places,personal-finance,"Huntleigh, MO",NA,NA,highest-earning-top-5-percent-us-cities.csv,"Which place has the top-earning top 5%? Try Huntleigh, Missouri",NA,NA,NA,Bloomberg ranked places with the highest income based on the average earnings of the top 5 percent of households.,Census data were used to identify the 25 places in the U.S. with the highest incomes for the top 5 percent of earners.,"U.S. Census American Community Survey Briefs, 11-23, ""The Geographic Concentration of High-Income Households: 2007-2011""; 2007-2011 American Community Survey 5-Year Estimates",2013-02-13
Most Million-Dollar Tax Filers: States,2/12/2013,places,personal-finance,California,NA,NA,most-million-dollar-tax-filers-states.csv,California still has most million-dollar taxpayers though numbers are decreasing,NA,http://www.bna.com/state-tax-snapshot-b17179877223/,NA,Bloomberg ranked the U.S. states and the District of Columbia on the number of federal individual tax returns with adjusted gross incomes of $1 million on more.,Numbers were compared with 2000 and the difference in each state's share of $1 million filers was calculated.. Percentages were rounded.,Internal Revenue Service,2013-02-12
Biggest Gender Gap in Earnings: Countries,1/31/2013,places,personal-finance,South Korea,NA,NA,biggest-gender-gap-in-earnings-countries.csv,American men earn 23% more than American women--and it's even worse for women in Asia,NA,NA,NA,Bloomberg ranked countries based on their gender pay gap.,"U.S. figures are for full-time, year-round workers ages 15 and older. Eurostat provided data for EU countries. Switzerland and Norway figures are for male and female paid employees working in industry, construction and services jobs (excluding public administration, defense and compulsory social security jobs). Data for remaining countries came from the OECD and are calculated as the difference between median earnings of men and women relative to median earnings of men. All data were the latest available.","Eurostat, Organization for Economic Cooperation and Development, United States Census",2013-01-31
Best Five-Year Employee Growth: Industries,1/23/2013,companies,business,Technology - Hardware,NA,NA,best-five-year-employee-growth-industries.csv,Tech-related industries have highest five-year employee growth,NA,NA,NA,Bloomberg ranked industries based on employee growth during the last five years.,"Using the last six years of annual employee data, Bloomberg applied the least-squares method to calculate five-year average annual growth in employment for all industry groups in the S&P 500. Most current data were used for the final year. Only groups with five or more companies were included.",Bloomberg,2013-01-23
Highest Male/Female Ratios: States,1/16/2013,places,lifestyle,North Dakota,NA,NA,highest-male-slash-female-ratios-states.csv,North Dakota has the highest male/female ratio for ages 25-34,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on the male-to-female ratios in the 25-34 age-group dating pool.,"Ratios were calculated by dividing the number of men ages 25-34 in each state who never married or are separated, widowed or divorced, by the number of women who meet those criteria.","U.S. Census Bureau, 2011 American Community Survey",2013-01-16
Oldest Fleets: Airlines,1/16/2013,companies,business,Allegiant Air,NA,NA,oldest-fleets-airlines.csv,Low-cost Allegiant Air has the oldest fleet of all major airlines,NA,NA,NA,Bloomberg ranked airline fleets based on age.,"Public airlines with market capitalizations of at least $1 billion were considered. Air France and KLM were ranked separately, as were Avianca and Taca. Each pair of airlines operates under the same company. Averages included both passenger and cargo planes, except for Singapore Airlines and Lufthansa, which included only passenger planes. Although AMR Corp. had a market cap of $510 million as of December 31, 2012, and wasn't included, American Airlines' fleet averaged 16.6 years and American Eagle Airlines' fleet averaged 9.6 years.",Bloomberg,2013-01-16
Largest Wage Increases: States,1/14/2013,places,personal-finance,District of Columbia,NA,NA,largest-wage-increases-states.csv,"Average pay increased most in D.C. from 2001 to 2011, least in Michigan",NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on their annualized increase in average wages from 2001 to 2011.,"Bloomberg reviewed state cross-industry estimate tables from 2001 to 2011, extracting the annual mean wage figure representing all occupations for each state. The national U.S. average was calculated and set at 100 as of 2001. Then changes were calculated for each year adjusted for inflation. (The average annualized increase for wages nationally was 2.89%.) Included were wage data for 23 major occupational groups and more than 821 detailed occupational titles. Self-employed persons were excluded.",Bureau of Labor Statistics' Occupational Employment Statistics; International Monetary Fund,2013-01-14
Most Popular for Heating U.S. Homes: Energy Sources,1/4/2013,other,economics,Gas,NA,NA,most-popular-for-heating-us-homes-energy-sources.csv,Gas trumps electricity for heating American homes with solar-energy users scarce,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on fuel usage in 2011.,Heating-fuel data were analyzed for each state and the District of Columbia. The states were ranked by the percentage of total occupied housing units that used each fuel type in 2011.,U.S. Census 2011 American Community Survey 5-year Estimates,2013-01-04
Most Volunteers: U.S. Cities,1/2/2013,places,lifestyle,"Minneapolis-St. Paul-Bloomington, MN-WI",NA,NA,most-volunteers-us-cities.csv,Minneapolis-St. Paul-Bloomington has the highest percentage of volunteers,NA,NA,NA,Bloomberg ranked metropolitan statistical areas (MSAs) on citizens' volunteer rates.,"Based on the latest census data, the volunteer rate is the percentage of respondents 16 or older who participated in unpaid volunteer activities through or for an organization at any point during the 12-month survey year. The value of volunteering was calculated by multiplying $21.79-- the estimated value of a volunteer hour, according to Volunteering and Civic Life in America--by the total number of volunteer hours for each MSA. N/A indicates that the sample size was too small to generate reliable statistics for that measure.",Volunteering and Civic Life in America (volunteeringinamerica.gov),2013-01-02
Biggest Lottery Losers: States,1/1/2013,places,personal-finance,Georgia,NA,NA,biggest-lottery-losers-states.csv,"Georgia, Massachusetts, New York home to biggest lottery losers",NA,http://www.bloomberg.com/news/2012-03-14/georgia-lottery-players-suckers-spending-most-for-least.html,NA,Bloomberg ranked the U.S. states based on the per capita percentage of income lost on lottery tickets.,"The Sucker Score was calculated by subtracting the total dollar amount of prizes awarded in each state from the total dollar amount of ticket sales. The difference was divided by the total personal income of the state's residents and the resulting number was multiplied by 10,000. A higher score indicates a greater propensity for ""suckerdom."" Lower prize payout and/or higher per capita spending on loterry tickets lead to a higher Sucker Score. All data were from 2010 and did not include video lottery games. Alabama, Alaska, Hawaii, Mississippi, Nevada, Utah and Wyoming were excluded because they do not have state lotteries.","U.S. Census 2010, Bureau of Economic Analysis, Fiscal Year 2010 Annual Reports of state lottery commissions",2013-01-01
